source_key,source_url,source_table,source_row,retrieved_at,Name,Type,Quantity,Origin,Notes
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,1,2026-09-15T04:05:32Z,Dhanush,Howitzer,119,India,155 mm gun made by OFB.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,2,2026-09-15T04:05:32Z,M777,Howitzer,,United States,145 ultra-light howitzers to be procured. Procurement delayed due to cuts in the defence budget.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,3,2026-09-15T04:05:32Z,Haubits FH77/B,Howitzer,200,Sweden,155 mm gun made by Bofors. 410 acquired from 1986–1991. 200 left in service. An indigenous version is under development.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,4,2026-09-15T04:05:32Z,M-46,Howitzer,180,Soviet Union Israel,M-46 130 mm howitzer guns upgraded to 155 mm standard by Soltam.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,5,2026-09-15T04:05:32Z,D-30,Howitzer,550,Soviet Union,Being replaced by the M-46.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,6,2026-09-15T04:05:32Z,METAMORPHOSIS 155 mm GUN,Howitzer,,India,Indian upgrade of M46 Howitzer
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,7,2026-09-15T04:05:32Z,M101 howitzer,Howitzer,350,United States,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,8,2026-09-15T04:05:32Z,75mm Mountain Howitzer,Howitzer,900,United Kingdom,In Reserve
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,9,2026-09-15T04:05:32Z,88mm 25 Pounder,Howitzer Field gun,800,United Kingdom,In Reserve also used for Training
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,10,2026-09-15T04:05:32Z,180 mm gun S-23,Heavy Gun,100,Soviet Union,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,11,2026-09-15T04:05:32Z,M-46,Field gun,900,Soviet Union,130 mm field gun. 550 purchased. 100 used with the Catapult self-propelled gun. Some to be upgraded to M-46 howitzers.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,12,2026-09-15T04:05:32Z,100mm M-1944,Field gun,350,Soviet Union,In Reserve
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,13,2026-09-15T04:05:32Z,BL 5.5 inch Medium Gun,Field gun,150,United Kingdom,Retired.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,14,2026-09-15T04:05:32Z,Indian Field Gun MK 1/2/3,Field gun,1700,India,"being upgraded with digital FCS and INS, to extend the renge up to 30Km with bleed base;"
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,15,2026-09-15T04:05:32Z,Light Field Gun,Field gun,700+,India,105mm gun. ongoing upgrade.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,16,2026-09-15T04:05:32Z,100 mm field gun M1944 (BS-3),Field gun,350,Soviet Union,In Reserve
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,17,2026-09-15T04:05:32Z,76 mm mountain gun M48,Mountain gun,215,Yugoslavia,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,18,2026-09-15T04:05:32Z,OTO Melara Mod 56,Mountain gun,50,Italy,Retired.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,19,2026-09-15T04:05:32Z,Sprut anti-tank gun,Anti-tank Gun,,Soviet Union,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,20,2026-09-15T04:05:32Z,FV433 Abbot SPG,Self-propelled artillery,~80,United Kingdom,105 mm howitzer. To be replaced following selection of new system.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,21,2026-09-15T04:05:32Z,M-46 Catapult,Self-propelled artillery,100,India,130 mm howitzer mounted on a Vijayanta hull. ~80 in storage. To be replaced following selection of new system.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,22,2026-09-15T04:05:32Z,2S1 Gvozdika,Self-propelled artillery,110,Soviet Union,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,23,2026-09-15T04:05:32Z,Smerch 9K58 MBRL,Multiple rocket launcher,62,Russia,300 mm multiple rocket launch system.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,24,2026-09-15T04:05:32Z,Pinaka MBRL,Multiple rocket launcher,80+,India,214 mm multiple rocket launch system. Replacing the 122 mm BM-21. Still in Production
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,25,2026-09-15T04:05:32Z,BM-21,Multiple rocket launcher,150+,Soviet Union,Modernized rockets with range of 40 km was purchased from Russia. To be replaced by Pinaka.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,7,26,2026-09-15T04:05:32Z,"9A52-2 ""Smerch"" launch vehicleA Haubits FH77Pinaka.JPGPinaka MBRL","9A52-2 ""Smerch"" launch vehicleA Haubits FH77Pinaka.JPGPinaka MBRL","9A52-2 ""Smerch"" launch vehicleA Haubits FH77Pinaka.JPGPinaka MBRL","9A52-2 ""Smerch"" launch vehicleA Haubits FH77Pinaka.JPGPinaka MBRL","9A52-2 ""Smerch"" launch vehicleA Haubits FH77Pinaka.JPGPinaka MBRL"
