source_key,source_url,source_table,source_row,retrieved_at,Name,Type,Quantity,Origin,Notes
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,4,1,2026-09-15T03:49:19Z,Kartik ABL,Armoured vehicle-launched bridge,34,India,Based on a Vijayanta chassis and manufactured by Heavy Vehicles Factory.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,4,2,2026-09-15T03:49:19Z,BLG-60M2,Armoured vehicle-launched bridge,,East Germany Poland,Retired.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,4,3,2026-09-15T03:49:19Z,Bridgle Laying Tank MT-55,Armoured vehicle-launched bridge,,Soviet Union,Based on T-55 Tank
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,4,4,2026-09-15T03:49:19Z,T-72 BLT,Armoured vehicle-launched bridge,12,India,Developed by CVRDE and manufactured by Heavy Vehicles Factory.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,4,5,2026-09-15T03:49:19Z,Sarvatra,Vehicle launched bridge,,India,8x8 truck-mounted bridging system
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,4,6,2026-09-15T03:49:19Z,CEASE,Canal bridging system,6,India,The Canal Embankment ASsault Equipment
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,4,7,2026-09-15T03:49:19Z,AERV,Military Engineering Vehicle,,India,BMP-2 based engineering and reconnaissance vehicle (Armoured Engineer Reconnaissance Vehicle) being manufactured at Ordnance Factory Medak.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,4,8,2026-09-15T03:49:19Z,BMP-2,Armoured Amphibious Bulldozer,7000,India,BMP-2 with turret removed and bulldozer blade and other engineering equipment added and being manufactured at Ordnance Factory Medak.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,4,9,2026-09-15T03:49:19Z,FV180 Combat Engineer Tractor,Armoured combat engineering vehicle,39,United Kingdom,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,4,10,2026-09-15T03:49:19Z,VFJ Light Recovery Vehicle,Light Recovery Vehicle (4x4),,India,Manufactured at Vehicle Factory Jabalpur.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,4,11,2026-09-15T03:49:19Z,Yuktirath Light Recovery Vehicle,Armoured Light Recovery Vehicle (4x4),,India,Manufactured at Ordnance Factory Medak.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,4,12,2026-09-15T03:49:19Z,Vijayanta ARV,Armoured recovery vehicle,200,India,Being replaced by VT-72B.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,4,13,2026-09-15T03:49:19Z,Mat Ground Surfacing CL-70,All Terrain vehicle,,India,Mounted on Tatra vehicle with automated laying and recovery has been developed for providing mobility in sandy and marshy terrain.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,4,14,2026-09-15T03:49:19Z,Armoured Vehicle Tracked Light Repair,Armoured recovery vehicle,,India,Based on BMP-2 for Light Repair being manufactured at Ordnance Factory Medak.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,4,15,2026-09-15T03:49:19Z,WZT-2,Armoured recovery vehicle,196,Poland,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,4,16,2026-09-15T03:49:19Z,WZT-3M,Armoured recovery vehicle,352,Poland,204 on order. Assembled locally from kits and components produced in India.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,4,17,2026-09-15T03:49:19Z,VT-72B ARV,Armoured recovery vehicle,200+,Slovakia Poland India,Armoured recovery vehicle replacing the Vijayanta ARV
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,4,18,2026-09-15T03:49:19Z,WZT-3Armoured recovery vehicles based on T-72-chassis.,WZT-3Armoured recovery vehicles based on T-72-chassis.,WZT-3Armoured recovery vehicles based on T-72-chassis.,WZT-3Armoured recovery vehicles based on T-72-chassis.,WZT-3Armoured recovery vehicles based on T-72-chassis.
