source_key,source_url,source_table,source_row,retrieved_at,Name,Type,Quantity,Origin,Notes
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,2,1,2026-09-15T04:05:32Z,Grenade 36mm,Hand Grenade,,India,Fragmentation grenade which can be hand thrown or rifle launched from 1A SLR.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,2,2,2026-09-15T04:05:32Z,Multi Mode Grenade Shivalik,Hand grenade,1.8 million ordered,India,"This modular grenade is available in Hand mode offensive, hand mode defensive and rifle mode. Types can be interchanged by changing outer sleeve. * *"
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,2,3,2026-09-15T04:05:32Z,GP-25,Grenade launcher (40mm),,Soviet Union,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,2,4,2026-09-15T04:05:32Z,Multi Grenade Launcher 40mm,Grenade launcher (40mm),,India,Semiautomatic six shot 40mm x 46mm low velocity grenade launcher. Manufactured at Ordnance Factory Tiruchirappalli. *
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,2,5,2026-09-15T04:05:32Z,AGS-17 Plamya,Automatic grenade launcher (30mm),,Soviet Union,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,2,6,2026-09-15T04:05:32Z,30 mm Auto Grenade Launcher,Automatic grenade launcher (30mm),,India,Replacing the AGS-17 and being manufactured at Ordnance Factory Tiruchirappalli.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,2,7,2026-09-15T04:05:32Z,RCL Mk II,Recoilless rifle (84mm),,India Sweden,Carl Gustav Recoilless Rifle produced by OFB.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,2,8,2026-09-15T04:05:32Z,RCL Mk III,Recoilless rifle (84mm),,India Sweden,"Lighter, updated version of the RCL Mk II."
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,2,9,2026-09-15T04:05:32Z,106mm M-40A1,Recoilless rifle,3000+,United States,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,2,10,2026-09-15T04:05:32Z,RPO-A Shmel,Rocket Launcher,,Russia,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,2,11,2026-09-15T04:05:32Z,OFB E1 51mm,Mortar,,India,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,2,12,2026-09-15T04:05:32Z,OFB E1 81mmL16 81mm mortar,Mortar,5000+,India United Kingdom Canada,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,2,13,2026-09-15T04:05:32Z,OFB E1 81mm,HE Bomb Smoke Bomb,,India,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,2,14,2026-09-15T04:05:32Z,OFB E1 120mm,Mortar HE Bomb,,India,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,2,15,2026-09-15T04:05:32Z,120mm AM-50,Mortar HE Bomb,1500+,France,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,2,16,2026-09-15T04:05:32Z,160mm Tampella,Mortar,200+,Finland,
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,2,17,2026-09-15T04:05:32Z,AGS-17RCL MK IIIAILStorm04.jpgM40 recoilless rifleL16 81mm mortarShipon,AGS-17RCL MK IIIAILStorm04.jpgM40 recoilless rifleL16 81mm mortarShipon,AGS-17RCL MK IIIAILStorm04.jpgM40 recoilless rifleL16 81mm mortarShipon,AGS-17RCL MK IIIAILStorm04.jpgM40 recoilless rifleL16 81mm mortarShipon,AGS-17RCL MK IIIAILStorm04.jpgM40 recoilless rifleL16 81mm mortarShipon
