source_key,source_url,source_table,source_row,retrieved_at,Aircraft | Combat,Origin | Combat,Type | Combat,Variant | Combat,In service | Combat,Notes | Combat
iaf_active_aircraft,https://en.wikipedia.org/wiki/List_of_active_Indian_military_aircraft,1,1,2026-09-15T04:05:32Z,Dassault Mirage 2000,France,Multirole,Mirage 2000H/I,36,All aircraft being upgraded to 2000I variant
iaf_active_aircraft,https://en.wikipedia.org/wiki/List_of_active_Indian_military_aircraft,1,2,2026-09-15T04:05:32Z,Dassault Rafale,France,Multirole,Rafale EH,28,"Single-seat version, 114 planned"
iaf_active_aircraft,https://en.wikipedia.org/wiki/List_of_active_Indian_military_aircraft,1,3,2026-09-15T04:05:32Z,Dassault Rafale,France,Multirole,Rafale DH,8,Two-seat version
iaf_active_aircraft,https://en.wikipedia.org/wiki/List_of_active_Indian_military_aircraft,1,4,2026-09-15T04:05:32Z,HAL Tejas,India,Multirole,Tejas Mk 1,30,
iaf_active_aircraft,https://en.wikipedia.org/wiki/List_of_active_Indian_military_aircraft,1,5,2026-09-15T04:05:32Z,HAL Tejas,India,Multirole,Tejas Mk 1A,–,141 on order
iaf_active_aircraft,https://en.wikipedia.org/wiki/List_of_active_Indian_military_aircraft,1,6,2026-09-15T04:05:32Z,Mikoyan MiG-29,Soviet Union,Multirole,MiG-29B,40,
iaf_active_aircraft,https://en.wikipedia.org/wiki/List_of_active_Indian_military_aircraft,1,7,2026-09-15T04:05:32Z,Mikoyan MiG-29,Soviet Union,Multirole,MiG-29UPG,12,Upgraded version of MiG-29B
iaf_active_aircraft,https://en.wikipedia.org/wiki/List_of_active_Indian_military_aircraft,1,8,2026-09-15T04:05:32Z,Mikoyan MiG-29,Soviet Union,Multirole,MiG-29UB,7,Two-seat version
iaf_active_aircraft,https://en.wikipedia.org/wiki/List_of_active_Indian_military_aircraft,1,9,2026-09-15T04:05:32Z,Multirole,,,,,
iaf_active_aircraft,https://en.wikipedia.org/wiki/List_of_active_Indian_military_aircraft,1,10,2026-09-15T04:05:32Z,Sukhoi Su-30MKI,Russia / India[a],Su-30MKI,258,"12 on order, 84 to be upgraded",
