source_key,source_url,source_table,source_row,retrieved_at,Pay level,Rank,Strength
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,3,1,2026-09-15T04:05:32Z,18,Air Chief Marshal,1
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,3,2,2026-09-15T04:05:32Z,17/16/15,Air Marshal,27
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,3,3,2026-09-15T04:05:32Z,14,Air Vice Marshal,75
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,3,4,2026-09-15T04:05:32Z,13A,Air Commodore,222
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,3,5,2026-09-15T04:05:32Z,13,Group Captain,1019
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,3,6,2026-09-15T04:05:32Z,12A,Wing Commander,4934
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,3,7,2026-09-15T04:05:32Z,11,Squadron Leader,3822
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,3,8,2026-09-15T04:05:32Z,10B,Flight Lieutenant,1258
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,3,9,2026-09-15T04:05:32Z,10,Flying Officer,785
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,3,10,2026-09-15T04:05:32Z,Total,Total,12143
