source_key,source_url,source_table,source_row,retrieved_at,Name,Image,Type,Quantity,Origin,Notes
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,3,1,2026-09-15T03:49:19Z,Ashok Leyland 4×4 Ambulance,,4×4 Ambulance,825,India,Ordered in 2016.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,3,2,2026-09-15T03:49:19Z,Ashok Leyland 4x4 Refueling Tanker,,4x4 Refueling Tanker,,,
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,3,3,2026-09-15T03:49:19Z,Tata LPTA 713 TC,,Light 4×4 truck,"15,000+",India,2.5 ton payload truck. Manufactured by Vehicle Factory Jabalpur.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,3,4,2026-09-15T03:49:19Z,Tata LPTA 2038 HMV,,Medium 6×6 high mobility truck,"1,239+",India,Additional 619 units on order. To augment and replace older BEML Tatra 6×6 fleet.[citation needed]
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,3,5,2026-09-15T03:49:19Z,Ashok Leyland Stallion,,Medium/heavy 6×6 8×8 10×10 truck,"70,000+",India,"10, 12 and 15 Ton trucks. Manufactured under licence by Vehicle Factory Jabalpur."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,3,6,2026-09-15T03:49:19Z,BEML Tatra,,Medium/heavy 6×6 8×8 10×10 12×12 truck,"10,000+",India Czechoslovakia,"Tatra Force heavy trucks licence produced by BEML. Used as chassis for equipment like Radars and Pinaka (T813, T815 8×8) and Smerch MBRL systems (T816 10×10). Its entire 6×6 fleet will be replaced by Tata LPTA 2038 HMV.[citation needed]"
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,3,7,2026-09-15T03:49:19Z,Ashok Leyland Topchi,,Light 4×4 Artillery tractor,,India,3 ton payload truck. Order placed in July 2023.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,3,8,2026-09-15T03:49:19Z,Ashok Leyland FAT 6×6 [or Gun Towing Vehicle 6×6 (GTV),,Medium 6×6 Artillery tractor,450+,India,Ordered in March 2016 (450) with follow on order in July 2023. To replace Scania SBA111.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,3,9,2026-09-15T03:49:19Z,Scania SBA111,,Medium 6×6 Artillery tractor,660,Sweden,Used for towing Bofors FH77B howitzers. To be replaced by Ashok Leyland FAT 6×6.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,3,10,2026-09-15T03:49:19Z,KrAZ-255,,Medium 6×6 Artillery tractor,,USSR,Used for towing 130 mm M-46 guns.
