source_key,source_url,source_table,source_row,retrieved_at,Name,Image,Type,Quantity,Origin,Notes
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,10,1,2026-09-15T03:49:19Z,DRDO Air Defence Tactical Control Radar (ADTCR),,Air defence radar,,India,Status: Under development.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,10,2,2026-09-15T03:49:19Z,Rajendra,,Passive electronically scanned array radar,,India,Status: In service.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,10,3,2026-09-15T03:49:19Z,INDRA-I/II,,Passive electronically scanned array radar,,India,Status: In service.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,10,4,2026-09-15T03:49:19Z,Rohini,,3D radar,,India,Status: In service.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,10,5,2026-09-15T03:49:19Z,Bharani,,Low-level lightweight 2D radar,,India,Status: In service.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,10,6,2026-09-15T03:49:19Z,Low Level Light Weight Radars,,,30,India,"Status: Cleared by defence ministry in December 2025, tender issued in Feb 2026."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,10,7,2026-09-15T03:49:19Z,BEL Battle Field Surveillance Radar,,Short range battle field surveillance radar,1400+,India,Status: In service.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,10,8,2026-09-15T03:49:19Z,BEL Atulya,,Fire-control radar,,India,Status: On order. Known as Air Defence Fire Control Radar (ADFCR). Supports L/70 guns.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,10,9,2026-09-15T03:49:19Z,Flycatcher,,Fire-control radar,260+,India Netherlands,Status: In service. Domestically produced under license by BEL for L/70 guns. To be replaced by BEL Atulya fire-control radar.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,10,10,2026-09-15T03:49:19Z,Swathi Weapon Locating Radar,,Counter-battery radar,49 (Operational) 43 Mk.1 6 Mk.2,India,Status: In service. Mk.1 is the plain variant while Mk.2 is the mountain variant.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,10,11,2026-09-15T03:49:19Z,AN/TPQ-37 Firefinder,,Counter-battery radar,12,United States,Status: In service.
