source_key,source_url,source_table,source_row,retrieved_at,Name,Image,Type,Quantity,Origin,Notes
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,4,1,2026-09-15T04:05:32Z,WZT-3M,,Armoured recovery vehicle,352,Poland India,204 on order. Initial orders were of Polish-made units before being licence-produced by Bharat Earth Movers Limited.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,4,2,2026-09-15T04:05:32Z,WZT-2,,Armoured recovery vehicle,222,Poland,
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,4,3,2026-09-15T04:05:32Z,VT-72B,,Armoured recovery vehicle,,USSR,Based on T-72. Being overhauled.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,4,4,2026-09-15T04:05:32Z,Armoured Vehicle Tracked Light Repair (AVLTR),,Armoured recovery vehicle,,India,Based on BMP-2 with turret removed and bulldozer blade and other engineering equipment added. Being manufactured at Ordnance Factory Medak.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,4,5,2026-09-15T04:05:32Z,Armoured Engineer Reconnaissance Vehicle,,Military engineering vehicle,16,India,Status: In service. 53 on order. BMP-2 based engineering and reconnaissance vehicle (Armoured Engineer Reconnaissance Vehicle) being manufactured at Ordnance Factory Medak.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,4,6,2026-09-15T04:05:32Z,Mechanical Minefield Marking Equipment Mk-II,,Mine Detection Vehicle,,India,"Status: In service since August 2025. Developed by DRDO's R&DE(E), manufactured by BEML and deployed by the Corps of Engineers."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,4,7,2026-09-15T04:05:32Z,Hydrema,,Mine clearing vehicle,24,Denmark,Status: In service.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,4,8,2026-09-15T04:05:32Z,Bridge Laying Tank T-72,,Armoured Vehicle Launched Bridge,,India USSR,"Status: On order. 47 ordered for ₹1,561 crore (US$160 million) on 21 Jan 2025. T-72 M1 tank variant integrated with long Military Load Classification 70 bridge, can be used to cross canal/stream/river by all tracked & wheeled vehicles in service with the Army."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,4,9,2026-09-15T04:05:32Z,Pontoonova Mostova Subravia (PMS),,Pontoon bridge,,India USSR,Status: In Service
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,4,10,2026-09-15T04:05:32Z,Arjun BLT,,Armoured Vehicle Launched Bridge,,India,"BLT Arjun is a fast and reliable bridge laying system built on the Main Battle Tank Arjun, it is capable of launching a 24 m bridge with in 10 minutes on any wet and dry obstacles, facilitating speedy induction."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,4,11,2026-09-15T04:05:32Z,Kartik BLT,,Armoured Vehicle Launched Bridge,,India,The Kartik BLT is a variant of the Vijayanta with a 20 m bridge of Military Load Classification Class 60 and is meant to move vehicle
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,4,12,2026-09-15T04:05:32Z,DRDO Sarvatra,,"Truck-mounted, multi-span, mobile bridging system",50,India,8×8 truck-mounted bridging system
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,4,13,2026-09-15T04:05:32Z,L&T Modular Bridge,,"Truck-mounted, single-span, mobile bridging system",1,India,"Status: In Service. 41 sets on order. Developed and designed by DRDO. Manufactured by L&T. 46 m mobile bridging system. Each sets consists of ""7 carrier vehicles based on 8×8 HMVs and 2 launcher vehicles based on 10×10 HMVs."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,4,14,2026-09-15T04:05:32Z,Axiscades Tank Transporter Trailer,,Tank transporter,,India,"Status: On order. An order for 212 units placed with Axiscades Aerospace and Technologies Pvt Ltd on August 1, 2025 at a cost of ₹223.95 crore. It can carry 50-ton tanks and other armoured vehicles and is equipped with hydraulic & pneumatic loading ramps, steerable and liftable axles."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,4,15,2026-09-15T04:05:32Z,CL 70 Mat Ground Surfacing,,Truck-mounted mat ground surfacing,,India,Mounted on Tatra vehicle with automated laying and recovery has been developed for providing mobility in sandy and marshy terrain.
